cfg_id,ED_PATH,HEL_WORK,BONUS_PCT,DON_STYLE,MOM_GIFT_USE,FX_SCENARIO,RISK_BAND,prob_shortfall_year1,prob_shortfall_year5,prob_shortfall_10yr,cashflow_volatility_10yr,var_95_year1,var_95_10yr_avg,min_cushion_p10,min_cushion_median,prob_insolvency_10yr,expected_shortfall
CFG_MZ,JohnsHopkins,Part‑time,0.2,0,0,Stress,1,0.0,0.0,0.49799999999999994,0.442655278605503,17815.603005366058,-55217.99462754502,-148804.2768918931,-117891.43682027468,0.48,-136910.4183723202
CFG_NA,JohnsHopkins,Part‑time,0.2,0,0,Stress,2,0.0,0.0,0.49799999999999994,0.442655278605503,17815.603005366058,-55217.99462754502,-148804.2768918931,-117891.43682027468,0.48,-136910.4183723202
CFG_NB,JohnsHopkins,Part‑time,0.2,0,0,Stress,3,0.0,0.0,0.49799999999999994,0.442655278605503,17815.603005366058,-55217.99462754502,-148804.2768918931,-117891.43682027468,0.48,-136910.4183723202
CFG_NC,JohnsHopkins,Part‑time,0.2,0,1,Base,1,0.0,0.0,0.495,0.4596098994048579,17815.603005366058,-52137.83733589066,-143397.46180225565,-112164.06593194007,0.4,-130750.10378901148
CFG_ND,JohnsHopkins,Part‑time,0.2,0,1,Base,2,0.0,0.0,0.495,0.4596098994048579,17815.603005366058,-52137.83733589066,-143397.46180225565,-112164.06593194007,0.4,-130750.10378901148
CFG_NE,JohnsHopkins,Part‑time,0.2,0,1,Base,3,0.0,0.0,0.495,0.4596098994048579,17815.603005366058,-52137.83733589066,-143397.46180225565,-112164.06593194007,0.4,-130750.10378901148
CFG_NF,JohnsHopkins,Part‑time,0.2,0,1,Stress,1,0.0,0.0,0.49799999999999994,0.442655278605503,17815.603005366058,-55217.99462754502,-148804.2768918931,-117891.43682027468,0.48,-136910.4183723202
CFG_NG,JohnsHopkins,Part‑time,0.2,0,1,Stress,2,0.0,0.0,0.49799999999999994,0.442655278605503,17815.603005366058,-55217.99462754502,-148804.2768918931,-117891.43682027468,0.48,-136910.4183723202
CFG_NH,JohnsHopkins,Part‑time,0.2,0,1,Stress,3,0.0,0.0,0.49799999999999994,0.442655278605503,17815.603005366058,-55217.99462754502,-148804.2768918931,-117891.43682027468,0.48,-136910.4183723202
CFG_NI,JohnsHopkins,Part‑time,0.2,1,0,Base,1,0.0,0.0,0.45599999999999996,0.5505012908066363,42815.60300536606,-27137.83733589066,-193919.77786528997,-159025.91753300547,0.0,-122304.4859528648
CFG_NJ,JohnsHopkins,Part‑time,0.2,1,0,Base,2,0.0,0.0,0.45599999999999996,0.5505012908066363,42815.60300536606,-27137.83733589066,-193919.77786528997,-159025.91753300547,0.0,-122304.4859528648
CFG_NK,JohnsHopkins,Part‑time,0.2,1,0,Base,3,0.0,0.0,0.45599999999999996,0.5505012908066363,42815.60300536606,-27137.83733589066,-193919.77786528997,-159025.91753300547,0.0,-122304.4859528648
CFG_NL,JohnsHopkins,Part‑time,0.2,1,0,Stress,1,0.0,0.0,0.46699999999999997,0.5095173135685742,42815.60300536606,-30217.994627545017,-193919.77786528997,-160041.29435904475,0.0,-127438.08143895543
CFG_NM,JohnsHopkins,Part‑time,0.2,1,0,Stress,2,0.0,0.0,0.46699999999999997,0.5095173135685742,42815.60300536606,-30217.994627545017,-193919.77786528997,-160041.29435904475,0.0,-127438.08143895543
CFG_NN,JohnsHopkins,Part‑time,0.2,1,0,Stress,3,0.0,0.0,0.46699999999999997,0.5095173135685742,42815.60300536606,-30217.994627545017,-193919.77786528997,-160041.29435904475,0.0,-127438.08143895543
CFG_NO,JohnsHopkins,Part‑time,0.2,1,1,Base,1,0.0,0.0,0.45599999999999996,0.5505012908066363,42815.60300536606,-27137.83733589066,-193919.77786528997,-159025.91753300547,0.0,-122304.4859528648
CFG_NP,JohnsHopkins,Part‑time,0.2,1,1,Base,2,0.0,0.0,0.45599999999999996,0.5505012908066363,42815.60300536606,-27137.83733589066,-193919.77786528997,-159025.91753300547,0.0,-122304.4859528648
CFG_NQ,JohnsHopkins,Part‑time,0.2,1,1,Base,3,0.0,0.0,0.45599999999999996,0.5505012908066363,42815.60300536606,-27137.83733589066,-193919.77786528997,-159025.91753300547,0.0,-122304.4859528648
CFG_NR,JohnsHopkins,Part‑time,0.2,1,1,Stress,1,0.0,0.0,0.46699999999999997,0.5095173135685742,42815.60300536606,-30217.994627545017,-193919.77786528997,-160041.29435904475,0.0,-127438.08143895543
CFG_NS,JohnsHopkins,Part‑time,0.2,1,1,Stress,2,0.0,0.0,0.46699999999999997,0.5095173135685742,42815.60300536606,-30217.994627545017,-193919.77786528997,-160041.29435904475,0.0,-127438.08143895543
CFG_NT,JohnsHopkins,Part‑time,0.2,1,1,Stress,3,0.0,0.0,0.46699999999999997,0.5095173135685742,42815.60300536606,-30217.994627545017,-193919.77786528997,-160041.29435904475,0.0,-127438.08143895543
